URN,name,type,phase,nursery_provision,sixth_form,gender,lowest_admission_age,highest_admission_age,census_date,number_of_pupils,percent_fsm,ofsted_rating,ofsted_report,compare_performance,headteacher,website,lon,lat
136498,Sale Grammar School,Academies,Secondary,No,Yes,Mixed,11,18,2024-01-18,1333,2.7,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/136498,https://www.compare-school-performance.service.gov.uk/school/136498,Rebecca Smith,http://www.salegrammar.co.uk,-2.315027636148995,53.418112870054365
136965,Flixton Girls School,Academies,Secondary,No,No,Girls,11,16,2024-01-18,947,16.7,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/136965,https://www.compare-school-performance.service.gov.uk/school/136965,Danielle Tedford,http://www.flixtongirls.com,-2.371094106463183,53.44968132283736
137289,Altrincham Grammar School for Girls,Academies,Secondary,No,Yes,Girls,11,18,2024-01-18,1368,3.5,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/137289,https://www.compare-school-performance.service.gov.uk/school/137289,Stephanie Gill,http://www.aggs.trafford.sch.uk,-2.3604709657986236,53.381211863960516
138123,Ashton-on-Mersey School,Academies,Secondary,No,Yes,Mixed,11,19,2024-01-18,1512,15.6,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138123,https://www.compare-school-performance.service.gov.uk/school/138123,Lee McConaghie,http://thedeantrust.co.uk,-2.339322577274194,53.41941252817327
138124,Broadoak School,Academies,Secondary,No,No,Mixed,11,16,2024-01-18,588,48.5,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138124,https://www.compare-school-performance.service.gov.uk/school/138124,John Knowles,http://broadoakschool.co.uk,-2.4297221786129026,53.41335060813359
138134,Saint Ambrose College,Academies,Secondary,No,Yes,Boys,11,18,2024-01-18,1068,5.6,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138134,https://www.compare-school-performance.service.gov.uk/school/138134,Dermot Rainey,www.st-ambrosecollege.org.uk,-2.3197411149198133,53.37053263206114
138464,Loreto Grammar School,Academies,Secondary,No,Yes,Girls,11,18,2024-01-18,1027,5,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138464,https://www.compare-school-performance.service.gov.uk/school/138464,Jane Beever,www.loretogrammar.co.uk,-2.3572527609859177,53.38825964192651
138614,Altrincham College,Academies,Secondary,No,Yes,Mixed,11,18,2024-01-18,978,26.1,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138614,https://www.compare-school-performance.service.gov.uk/school/138614,Kim Earle,http://www.altrinchamcollege.com,-2.3240819584622456,53.384030831894655
138654,Elmridge Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,232,12.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138654,https://www.compare-school-performance.service.gov.uk/school/138654,Rebecca Bolton,www.elmridge.bright-futures.co.uk,-2.310653603680585,53.36713197382526
138788,Forest Gate Academy,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,208,59,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138788,https://www.compare-school-performance.service.gov.uk/school/138788,Anita Edwards,http://forestgateacademy.co.uk,-2.4412299923845753,53.416131045871474
138977,Acre Hall Primary School,Academies,Primary,Yes,No,Mixed,3,11,2024-01-18,299,25.4,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/138977,https://www.compare-school-performance.service.gov.uk/school/138977,C Catherall,http://www.acrehall.trafford.sch.uk,-2.39412398982378,53.44882551834581
