URN,name,type,phase,nursery_provision,sixth_form,gender,lowest_admission_age,highest_admission_age,census_date,number_of_pupils,percent_fsm,ofsted_rating,ofsted_report,compare_performance,headteacher,website,lon,lat
106340,St Hugh's Catholic Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,652,7.8,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106340,https://www.compare-school-performance.service.gov.uk/school/106340,Lisa Kelly,www.sthughstimperley.org,-2.335110234118457,53.40229218764538
106341,Altrincham CofE (Aided) Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,233,24.1,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106341,https://www.compare-school-performance.service.gov.uk/school/106341,Kirsty Chrysler,www.altrinchamceprimaryschool.co.uk,-2.3532700456306674,53.39028495239897
106343,St Anne's CofE Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,222,22.9,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106343,https://www.compare-school-performance.service.gov.uk/school/106343,Polly Knight,www.st-annes.trafford.sch.uk,-2.308588762330567,53.42031391532524
106344,St Mary's CofE Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,266,2.7,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106344,https://www.compare-school-performance.service.gov.uk/school/106344,Wayne Hitchcock,www.st-marys.trafford.sch.uk,-2.3323347222078996,53.42440286934697
106345,Holy Family Catholic Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,216,14.4,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106345,https://www.compare-school-performance.service.gov.uk/school/106345,Linda Davison,www.holyfamilysalemoor.co.uk,-2.2991444163125143,53.421048059821345
106346,Our Lady of Lourdes Catholic School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,209,43.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106346,https://www.compare-school-performance.service.gov.uk/school/106346,Natalie Gaulton,www.ourladyoflourdes-primary.trafford.sch.uk,-2.4370265970591847,53.41851051349819
106347,All Saints' Catholic Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,216,16.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106347,https://www.compare-school-performance.service.gov.uk/school/106347,Anita Fagan,www.allsaints.trafford.sch.uk,-2.351785092500696,53.43080990301625
106349,St Mary's CofE Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,196,13.8,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106349,https://www.compare-school-performance.service.gov.uk/school/106349,Alison Daniel,www.stmarysprimarydavyhulme.co.uk,-2.364749523878009,53.456073742122015
106350,St Michael's CofE (Aided) Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,244,6.1,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106350,https://www.compare-school-performance.service.gov.uk/school/106350,Lucy Perry,www.smpsflixton.co.uk,-2.3816965420081724,53.44319412299812
106352,English Martyrs' RC Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,225,4.4,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106352,https://www.compare-school-performance.service.gov.uk/school/106352,Alison McGlade,https://englishmartyrs.trafford.sch.uk,-2.3585896027395714,53.4488656242829
106353,St Hugh of Lincoln RC Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,331,21.8,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106353,https://www.compare-school-performance.service.gov.uk/school/106353,Maureen Atherton,www.st-hughlincoln.trafford.sch.uk,-2.337347572408269,53.45310720168053
106355,St Teresa's RC Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,162,25.2,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106355,https://www.compare-school-performance.service.gov.uk/school/106355,Anthony Schilling,http://www.saintteresas.com,-2.283459652866242,53.451854097919735
106356,St Monica's RC Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,327,15.9,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106356,https://www.compare-school-performance.service.gov.uk/school/106356,Mark Doherty,www.stmonicasschoolflixton.org.uk,-2.3918471177170253,53.446837555507464
106358,Our Lady of the Rosary RC Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,236,5.1,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106358,https://www.compare-school-performance.service.gov.uk/school/106358,Susan Molloy,www.ourladyrosary.co.uk,-2.3607539008879104,53.457281355012626
106359,St Margaret Ward Catholic Primary School,Local authority maintained schools,Primary,Yes,No,Mixed,3,11,2024-01-18,240,25.9,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106359,https://www.compare-school-performance.service.gov.uk/school/106359,Jason Hughes,www.smwprimary.net,-2.3563243321700855,53.413897920981626
106360,St Alphonsus RC Primary School,Local authority maintained schools,Primary,No,No,Mixed,3,11,2024-01-18,184,40.2,Outstanding,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106360,https://www.compare-school-performance.service.gov.uk/school/106360,Tina Birds,http://www.stalphonsus-trafford.co.uk,-2.263595086019899,53.463530733075636
106365,Lostock High School,Local authority maintained schools,Secondary,No,No,Mixed,11,16,2024-01-18,500,32.3,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106365,https://www.compare-school-performance.service.gov.uk/school/106365,Lindsay Brindley,www.lostock.trafford.sch.uk,-2.330358259126767,53.454771645396875
106368,Stretford Grammar School,Local authority maintained schools,Secondary,No,Yes,Mixed,11,18,2024-01-18,942,10.8,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106368,https://www.compare-school-performance.service.gov.uk/school/106368,Michael Mullins,www.stretfordgrammar.com,-2.298264788796133,53.443692401715914
106370,Stretford High School,Local authority maintained schools,Secondary,No,No,Mixed,11,16,2024-01-18,958,39.8,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106370,https://www.compare-school-performance.service.gov.uk/school/106370,Nicola Doward,http://stretfordhigh.com,-2.293706003890704,53.457204455256345
106375,Sale High School,Local authority maintained schools,Secondary,No,No,Mixed,11,16,2024-01-18,1049,25.7,Good,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106375,https://www.compare-school-performance.service.gov.uk/school/106375,Adam Rogers,http://salehighschool.org.uk,-2.3047380809264166,53.41419360746527
106376,Blessed Thomas Holford Catholic College,Local authority maintained schools,Secondary,No,Yes,Mixed,11,18,2024-01-18,1593,11.9,Requires improvement,http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/106376,https://www.compare-school-performance.service.gov.uk/school/106376,Clare Hogg,https://www.bthcc.org.uk,-2.3409778363870792,53.38747132309851
